||~ Field ||~ DisplayName ||~ Description ||~ Enum ||~
|| moveDir || Move direction input || Moving direction to enter || NPC_AI_ACTION_MOVE_DIR ||
|| key1 || Key input 1 || Key to enter || NPC_AI_ACTION_KEY ||
|| key2 || Key input 2 || Key to enter || NPC_AI_ACTION_KEY ||
|| key3 || Key input 3 || Key to enter || NPC_AI_ACTION_KEY ||
|| bMoveDirHold || Press and hold the movement direction input? || Whether to handle the input movement direction as long press || ON_OFF ||
|| bKeyHold1 || Press and hold key input 1? || Whether to treat the key to be entered as a long press || ON_OFF ||
|| bKeyHold2 || Press and hold key input 2? || Whether to treat the key to be entered as a long press || ON_OFF ||
|| bKeyHold3 || Press and hold key input 3? || Whether to treat the key to be entered as a long press || ON_OFF ||
|| gestureId || Gesture ID (valid only when any key input is GESTURE) || Gesture ID || - ||
|| bLifeEndSuccess || Treat as successful when life is over || If this is ON, the AI goal will not be successful until the end of its life || ON_OFF ||
|| pad1 || pad || pad || - ||
