||~ Field ||~ DisplayName ||~ Description ||~ Enum ||~
|| disableParam_NT || Do you remove it from the NT version output? || Parameters marked with ○ are excluded in the NT version package. || BOOL_CIRCLECROSS_TYPE ||
|| disableParamReserve1 || Reserve for package output 1 || Reserve for package output 1 || - ||
|| disableParamReserve2 || Reserve for package output 2 || Reserve for package output 2 || - ||
|| EnableFastTravelEventFlagId || Fast travel permission flag ID || Fast travel permission flag ID || - ||
|| WeatherLotTimeOffsetIngameSeconds || Weather lottery time offset (in-game seconds) || Offset for weather lottery time (unit: in-game seconds). Divide by the in-game time scale of the game properties to get real time || - ||
|| WeatherCreateAssetLimitId || ID for limiting the generation of weather generation assets || ID used to limit the generation of assets generated by the weather asset generation parameter .xlsm || - ||
|| MapAiSightType || Map visibility type || Map visibility type || MAP_AI_SIGHT_TYPE ||
|| SoundIndoorType || Sound indoor, complete indoor distribution || Set whether to divide the map GD setting "indoor" into "indoor" or "completely indoor" for sound (SEQ09833). || SOUND_INDOOR_TYPE ||
|| ReverbDefaultType || Reverb default settings || Specifies the reverb default type for this map || SOUND_MAP_DEFAULT_REVERB_TYPE ||
|| BgmPlaceInfo || Location information for BGM || Specify location default information for BGM || SOUND_BGM_MAP_PLACE_TYPE ||
|| EnvPlaceInfo || Location information for environmental sounds || Specifies location default information for ambient sounds || SOUND_ENV_MAP_PLACE_TYPE ||
|| MapAdditionalSoundBankId || Map addition bank ID || Specify the ID of the "map addition bank" of the sound to be additionally loaded (-1: no map addition bank) (SEQ15725) || - ||
|| MapHeightForSound || Map height information for sound [m] || Map height information for sound [m] (SEQ15727) || - ||
|| IsEnableBlendTimezoneEnvmap || [For Legacy] Map Environment Map Time Blend Is Effective? || Specifies whether to time blend the environment map. Only Texure in the 0th time zone is shot and used. GPU load and memory are reduced. This setting is valid only for Legacy (m00-m49) (SEQ16464). || BOOL_CIRCLECROSS_TYPE ||
|| OverrideGIResolution_XSS || GI resolution overwrite setting _XSS platform || Overwrites the GI resolution used in XSS (Xbox SeriesS, Lockhart) || MAP_GI_RESOLUTION_OVERRIDE_TYPE ||
|| MapLoHiChangeBorderDist_XZ || Map high hit switching judgment AABB_width Depth (XZ) [m] || Map high hit switching judgment AABB_width Depth (XZ) [m] (SEQ16295) || - ||
|| MapLoHiChangeBorderDist_Y || Map high hit switching judgment AABB_ height (Y) [m] || Map high hit switching judgment AABB_ height (Y) [m] (SEQ16295) || - ||
|| MapLoHiChangePlayDist || Map high hit switching judgment play distance [m] || Map high hit switching judgment play distance [m]. Normally the default should be fine. For smaller AABB, adjust as needed. If the play is too small, switching will occur frequently. Not expected if larger than AABB size (SEQ 16295) || - ||
|| MapAutoDrawGroupBackFacePixelNum || Number of pixels to be judged on the back side in automatic drawing group calculation || Number of pixels to be judged on the back side in automatic drawing group calculation || - ||
|| PlayerLigntScale || Player Light Intensity Scale Value || Specify the scale to be applied to the PC and PC horse resident light source on this map (SEQ16562). || - ||
|| IsEnableTimezonnePlayerLigntScale || Does the Player light intensity scale change depending on the time zone? || Does this map change the Player light intensity scale depending on the PC, PC horse resident light source, and time zone? (SEQ 16562) || BOOL_CIRCLECROSS_TYPE ||
|| isDisableAutoCliffWind || Do you want to disable automatic cliff wind SE? || Do you want to disable automatic cliff wind SE? (SEQ15729) || BOOL_CIRCLECROSS_TYPE ||
|| OpenChrActivateThreshold || Open character activation limit_evaluation value threshold || Open character activation limit_evaluation value threshold || - ||
|| MapMimicryEstablishmentParamId || Mimicry probability parameter ID by map || Mimicry probability parameter ID by map (SEQ22471) || - ||
|| OverrideGIResolution_XSX || GI resolution overwrite setting _XSX platform || Overwrites the GI resolution used on XSX (Xbox Series X, Anaconda) || MAP_GI_RESOLUTION_OVERRIDE_TYPE ||
|| Reserve || Reserve || Reserve || - ||
