||~ Field ||~ DisplayName ||~ Description ||~ Enum ||~
|| disableParam_NT || Do you remove it from the NT version output? || Parameters marked with ○ are excluded in the NT version package. || BOOL_CIRCLECROSS_TYPE ||
|| disableParamReserve1 || Reserve for package output 1 || Reserve for package output 1 || - ||
|| disableParamReserve2 || Reserve for package output 2 || Reserve for package output 2 || - ||
|| yesNoDialogMessageId || Yes / No Dialog Message ID || Message ID of Yes / No dialog issued when using magic || - ||
|| limitCancelSpEffectId || Special effect ID that is out of usage restrictions || Usage restrictions can be ignored when the specified special effect ID is activated || - ||
|| sortId || SortID || Sort ID (-1: Do not collect) || - ||
|| requirementLuck || Equipment conditions [luck] || Can't be equipped without more PC luck || - ||
|| aiNotifyType || AI notification type || AI interrupt occurs in act ("AI notification when magic is activated") || MAGIC_AI_NOTIFY_TYPE ||
|| mp || MP consumption [normal] || MP consumption || - ||
|| stamina || Consumed stamina [normal] || Consumption stamina || - ||
|| iconId || Icon ID || Specify icon> For menu || - ||
|| behaviorId || Action ID || Set the action ID || - ||
|| mtrlItemId || Required item ID || Item ID required for purchase || - ||
|| replaceMagicId || Magic ID to replace || ID to be replaced when the state change matches (-1: invalid) || - ||
|| maxQuantity || Maximum number || Number per piece (-1: infinity) || - ||
|| refCategory1 || ID category || Call ID category [Attack, Projectile, Special Effects] || BEHAVIOR_REF_TYPE ||
|| overDexterity || Skill over start value || Skill over start value || - ||
|| refCategory2 || ID category || Call ID category [Attack, Projectile, Special Effects] || BEHAVIOR_REF_TYPE ||
|| slotLength || Required slot || Number of slots required for equipment> For menu || - ||
|| requirementIntellect || Equipment conditions [Intelligence] || Can't be equipped without more PC intelligence || - ||
|| requirementFaith || Equipment conditions [reason] || It cannot be equipped without the power of the PC any more. || - ||
|| analogDexterityMin || Analog minimum workmanship || Motion cancel analog: Minimum skill value || - ||
|| analogDexterityMax || Maximum analog workmanship || Motion cancel analog: Maximum skill value || - ||
|| ezStateBehaviorType || category || Used for sorting> For menu || MAGIC_CATEGORY ||
|| refCategory3 || ID category || Call ID category [Attack, Projectile, Special Effects] || BEHAVIOR_REF_TYPE ||
|| spEffectCategory || Special effects category || Since there are effects (enchantment weapons, etc.) whose parameters fluctuate depending on skills, magic, items, etc., set each action so that the determined effect can correspond to the effect such as "power up only weapon attack". Set "None" for items that do not need to be set, such as varistor.
 || BEHAVIOR_CATEGORY ||
|| refType || Motion category || Specify motion> For EzState || MAGIC_MOTION_TYPE ||
|| opmeMenuType || Menu type at the time of use || Menu type to be displayed when using magic || GOODS_OPEN_MENU ||
|| refCategory4 || ID category || Call ID category [Attack, Projectile, Special Effects] || BEHAVIOR_REF_TYPE ||
|| hasSpEffectType || Which normal is it? || Specify the state change that needs to replace the magic ID || SP_EFFECT_TYPE ||
|| replaceCategory || Replacement category || Additional conditions when replacing the magic ID || REPLACE_CATEGORY ||
|| useLimitCategory || Restrictions on use by special effects category || Specified to control availability by special effects || SP_EFFECT_USELIMIT_CATEGORY ||
|| vowType0 || Pledge 0 || Pledge 0 || MAGIC_BOOL ||
|| vowType1 || Pledge 1 || Pledge 1 || MAGIC_BOOL ||
|| vowType2 || Pledge 2 || Pledge 2 || MAGIC_BOOL ||
|| vowType3 || Pledge 3 || Pledge 3 || MAGIC_BOOL ||
|| vowType4 || Pledge 4 || Pledge 4 || MAGIC_BOOL ||
|| vowType5 || Pledge 5 || Pledge 5 || MAGIC_BOOL ||
|| vowType6 || Pledge 6 || Pledge 6 || MAGIC_BOOL ||
|| vowType7 || Pledge 7 || Pledge 7 || MAGIC_BOOL ||
|| enable_multi || Can it be used in multi? || Can it be used in multi? Can be used for both single and multi || MAGIC_BOOL ||
|| enable_multi_only || Is it only for multi? || Is it only for multi? It cannot be used when it is a single. It can be used when it is multi. || MAGIC_BOOL ||
|| isEnchant || Is it an enchantment? || Is it magic to enchant? || MAGIC_BOOL ||
|| isShieldEnchant || Is it a shield enchantment? || Is it magic to enchant guards and shields? || MAGIC_BOOL ||
|| enable_live || Can be used alive || Can surviving characters be used? || MAGIC_BOOL ||
|| enable_gray || Gray available || Can gray characters be used? || MAGIC_BOOL ||
|| enable_white || White can be used || Can white ghost characters be used? || MAGIC_BOOL ||
|| enable_black || Black can be used || Can black ghost characters be used? || MAGIC_BOOL ||
|| disableOffline || Is it unavailable offline? || Is it unavailable offline? || MAGIC_BOOL ||
|| castResonanceMagic || Do you deliver resonance magic? || Do you deliver resonance magic? || MAGIC_BOOL ||
