||~ Field ||~ DisplayName ||~ Description ||~ Enum ||~
|| disableParam_NT || Do you remove it from the NT version output? || Parameters marked with ○ are excluded in the NT version package. || BOOL_CIRCLECROSS_TYPE ||
|| disableParam_Debug || Is it a debug parameter? || Parameters marked with a circle are excluded from all packages (because they are for debugging). || BOOL_CIRCLECROSS_TYPE ||
|| disableParamReserve1 || Reserve for package output 1 || Reserve for package output 1 || - ||
|| disableParamReserve2 || Reserve for package output 2 || Reserve for package output 2 || - ||
|| PlayMapId || Map number to play || Please enter the map number to be played back as an 8-digit number. This is the map number used as the reference in the cutscene. If you do not specify the correct map number, the playback position will shift. || - ||
|| RequireMapId0 || Map number 1 required for display || Please enter the map number required for display as an 8-digit number. This parameter is used by the guest as a list to determine if the cutscene can be played. If you don't need it, you can leave it as 0 or blank. || - ||
|| RequireMapId1 || Map number 2 required for display || Please enter the map number required for display as an 8-digit number. This parameter is used by the guest as a list to determine if the cutscene can be played. If you don't need it, you can leave it as 0 or blank. || - ||
|| RequireMapId2 || Map number 3 required for display || Please enter the map number required for display as an 8-digit number. This parameter is used by the guest as a list to determine if the cutscene can be played. If you don't need it, you can leave it as 0 or blank. || - ||
|| RefCamPosHitPartsID || Hit part ID for calculating camera position during loading || Hit part ID for calculating camera position during loading || - ||
|| reserved_2 || Reserve ||  || - ||
|| ClientDisableViewTimeForProgress || Waiting time when cannot be displayed [seconds] || The number of seconds used to display the progress of the loading screen progress bar that is displayed when the guest side cannot play in the multi. [GR] SEQ22843 [Cutscene] Players who have not read the map number required for display during cutscene playback will see the screen go dark. || - ||
|| reserved || reserved || reserved || - ||
|| HitParts_0 || Hit parts waiting to be read 0 || Hit parts waiting to be read 0 || - ||
|| HitParts_1 || Hit parts waiting to be read 1 || Hit parts waiting to be read 1 || - ||
